id,hex_code,name,meaning
1,#FF6B6B,Coral Red,"Represents urgency, procrastination, and time-sensitive matters"
2,#4ECDC4,Turquoise,"Symbolizes self-reflection, personal value, and inner peace"
3,#45B7D1,Sky Blue,"Associated with relationships, communication, and connections"
4,#FFA07A,Light Salmon,"Reflects motivation, energy, and drive"
5,#DDA15E,Sandy Brown,"Represents anxiety, concerns, and thoughtful worry"
6,#95E1D3,Mint Green,"Symbolizes growth, learning, and personal development"
7,#A8DADC,Powder Blue,"Associated with work, professional life, and career"
8,#F4A261,Sandy Orange,Represents creativity and self-expression
9,#E76F51,Terra Cotta,Symbolizes passion and strong emotions
10,#2A9D8F,Teal,Associated with balance and harmony
